20:04, PM10: 123ug/m^3, PM2.5: 123ug/m^3, Humid: 48.00%, temp: 29.30C
20:04, PM10: 123ug/m^3, PM2.5: 123ug/m^3, Humid: 48.00%, temp: 29.10C
20:05, PM10: 143ug/m^3, PM2.5: 143ug/m^3, Humid: 47.00%, temp: 29.50C
20:05, PM10: 143ug/m^3, PM2.5: 143ug/m^3, Humid: 47.00%, temp: 30.40C
20:19, PM10: 143ug/m^3, PM2.5: 143ug/m^3, Humid: 37.00%, temp: 34.70C
20:19, PM10: 142ug/m^3, PM2.5: 142ug/m^3, Humid: 37.00%, temp: 33.90C
20:19, PM10: 5ug/m^3, PM2.5: ug/m^3, Humid: 42%, temp: 
C
20:19, PM10: 1010103.03.0ug/m^3, PM2.5: 150ug/m^3, Humid: 0%, temp: 37.00C
20:19, PM10: 150ug/m^3, PM2.5: 150ug/m^3, Humid: 37.00%, temp: 34.60C
20:21, PM10: 143ug/m^3, PM2.5: 143ug/m^3, Humid: 35.00%, temp: 35.00C
20:22, PM10: 148ug/m^3, PM2.5: 148ug/m^3, Humid: 35.00%, temp: 34.80C
20:23, PM10: 146ug/m^3, PM2.5: 146ug/m^3, Humid: 34.00%, temp: 35.40C
20:23, PM10: 145ug/m^3, PM2.5: 145ug/m^3, Humid: 34.00%, temp: 34.50C
20:24, PM10: 147ug/m^3, PM2.5: 147ug/m^3, Humid: 34.00%, temp: 34.90C
20:24, PM10: 146ug/m^3, PM2.5: 146ug/m^3, Humid: 34.00%, temp: 35.30C
20:24, PM10: 146ug/m^3, PM2.5: 146ug/m^3, Humid: 34.00%, temp: 35.90C
20:24, PM10: 145ug/m^3, PM2.5: 145ug/m^3, Humid: 34.00%, temp: 35.90C
20:24, PM10: 145ug/m^3, PM2.5: 145ug/m^3, Humid: 34.00%, temp: 35.30C
20:25, PM10: 4ug/m^3, PM2.5: ug/m^3, Humid: 59%, temp: 
C
20:25, PM10: 1717213.03.0ug/m^3, PM2.5: 148ug/m^3, Humid: 1%, temp: 33.00C
20:25, PM10: 148ug/m^3, PM2.5: 148ug/m^3, Humid: 33.00%, temp: 35.50C
20:26, PM10: 148ug/m^3, PM2.5: 148ug/m^3, Humid: 34.00%, temp: 36.10C
20:26, PM10: 148ug/m^3, PM2.5: 148ug/m^3, Humid: 33.00%, temp: 35.10C
20:27, PM10: 4ug/m^3, PM2.5: ug/m^3, Humid: 60%, temp: 
C
20:27, PM10: 1616113.03.0ug/m^3, PM2.5: 147ug/m^3, Humid: 1%, temp: 33.00C
20:27, PM10: 147ug/m^3, PM2.5: 147ug/m^3, Humid: 32.00%, temp: 35.20C
20:28, PM10: 150ug/m^3, PM2.5: 150ug/m^3, Humid: 33.00%, temp: 36.50C
20:28, PM10: 150ug/m^3, PM2.5: 150ug/m^3, Humid: 33.00%, temp: 36.50C
20:28, PM10: 148ug/m^3, PM2.5: 148ug/m^3, Humid: 33.00%, temp: 35.90C
20:28, PM10: 149ug/m^3, PM2.5: 149ug/m^3, Humid: 33.00%, temp: 35.90C
20:29, PM10: 4ug/m^3, PM2.5: ug/m^3, Humid: 57%, temp: 
C
20:30, PM10: 145ug/m^3, PM2.5: 145ug/m^3, Humid: 32.00%, temp: 36.30C
20:30, PM10: 144ug/m^3, PM2.5: 144ug/m^3, Humid: 32.00%, temp: 36.10C
20:31, PM10: 149ug/m^3, PM2.5: 149ug/m^3, Humid: 32.00%, temp: 36.50C
20:31, PM10: 150ug/m^3, PM2.5: 150ug/m^3, Humid: 32.00%, temp: 36.10C
