
17:14, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:34.10℃
17:15, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.90℃
17:16, 미세먼지:30㎍/㎡, 초미세먼지:30㎍/㎡, 습도:32.00%, 온도:33.60℃
17:17, 미세먼지:29㎍/㎡, 초미세먼지:29㎍/㎡, 습도:32.00%, 온도:33.20℃
17:18, 미세먼지:29㎍/㎡, 초미세먼지:29㎍/㎡, 습도:32.00%, 온도:33.40℃
17:19, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.70℃
17:20, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.70℃
17:21, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.10℃
17:22, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.70℃
17:23, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.40℃
17:24, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:34.20℃
17:25, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.90℃
17:26, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.80℃
17:27, 미세먼지:28㎍/㎡, 초미세먼지:28㎍/㎡, 습도:32.00%, 온도:33.70℃
17:28, 미세먼지:26㎍/㎡, 초미세먼지:26㎍/㎡, 습도:32.00%, 온도:33.50℃
17:29, 미세먼지:25㎍/㎡, 초미세먼지:25㎍/㎡, 습도:32.00%, 온도:33.90℃
17:30, 미세먼지:24㎍/㎡, 초미세먼지:24㎍/㎡, 습도:32.00%, 온도:33.50℃
17:31, 미세먼지:23㎍/㎡, 초미세먼지:23㎍/㎡, 습도:32.00%, 온도:33.30℃
